refcalc,nmodes,{iter,R,f,size}*nmodes,L,b,Ys,c11,e31,eps33,hs,hp,ps,pp
29,3,41,107138.4375,-4.7266089269150963759,0.0078125,0.02878532180925147746,0.0054676882955095205616,76364688317.926925659,61519791360.674331665,-10.148532751271748253,1.3211740165605088335e-08,5.2114640156326185068e-05,0.00014563448786765080057,2632.8752231145626865,7538.765400142299768
30,3,38,99497.078125,-4.6986307632240569276,0.0078125,0.028150139982416361173,0.0050835922987123912525,76925736035.185745239,66408772925.338134766,-10.042209720184192889,1.4254404124181905124e-08,4.7505638400328179557e-05,0.00013535803436318319805,2793.4928754267716613,7313.0561567088852826
31,3,38,131478.359375,-4.5457179053523306678,0.0078125,0.030678678384832423764,0.0049748703164397131346,73950577245.536529541,56373133352.339797974,-9.614201326637621392,1.418209394774962888e-08,4.6935905065357644305e-05,0.00015510230487682962657,2631.8041642484276963,8179.5644020217305297
32,3,38,131804.796875,-4.7977964424315828751,0.0078125,0.027779317754683698766,0.0051712650501501110367,73427572665.003860474,55930984016.336029053,-9.8048514707222818032,1.2299650881257677672e-08,5.0513264977146529917e-05,0.00016276004745054991176,2688.3423890910776208,8411.8831014898059948
33,3,41,117100.734375,-4.7362518153262316289,0.0078125,0.028734327168080178727,0.005170101828719536434,70148591156.65246582,58361749495.315246582,-10.635963252333906937,1.4200673597776643818e-08,4.6425485010922649346e-05,0.00016092023134041589681,2889.2881308678947789,8239.309356880517953
34,3,41,107615.84375,-4.925061063171384923,0.0078125,0.027492650742871990038,0.0049636466398200237288,67067752808.363990784,65444369062.569168091,-10.575542172536039232,1.3067957422462272778e-08,5.1959068121835160251e-05,0.00015833957345380428859,2474.735099861740764,7082.9082518387158416
35,3,38,131891.765625,-4.6054931251921784607,0.0078125,0.030330744631276811835,0.0047127290699690250683,73372365886.51890564,58559398828.847053528,-9.9782507896322059082,1.4509646110804585426e-08,4.9238796264044383945e-05,0.00016045687364202779039,2905.2481094353124718,8373.5517599846007215
36,3,40,159949.28125,-4.5402357243910440587,0.0078125,0.031653502860410839825,0.00466914361909457655,71013506008.318389893,58391609056.522888184,-10.302018641672106014,1.246432683803808237e-08,4.6247965600922692233e-05,0.00015286326237854699298,2456.9162287409026248,8486.7617111707859294
37,3,44,140876.90625,-4.8178488103181589253,0.0078125,0.029466753209227116578,0.0046319533251840397034,69145674858.31010437,63460487544.1456604,-11.432191413264810365,1.2032169654025775667e-08,4.6144452547256115669e-05,0.00015576458050439346442,2862.7332293767171905,7280.7964499833979062
38,3,38,125162.296875,-4.5335913539737990874,0.0078125,0.031570625462835018304,0.0048564819369262459542,68740239437.548553467,61032381088.907073975,-10.725379934052647002,1.3851293137567719637e-08,4.9574083641438783073e-05,0.00013740936859623034574,2730.1403772924750228,7498.1210563206677762
39,3,41,131239.71875,-4.5134475816007100235,0.0078125,0.032895622467573555625,0.0048313993231073951162,70092975046.994613647,61670963771.348335266,-10.644601317422743847,1.452236217692138687e-08,5.2408341875955622271e-05,0.0001572718004194422663,2729.6874351704900619,8200.5525362331190991
40,3,44,122052.6875,-4.5631954376875318857,0.0078125,0.031306340898529787242,0.0054661022666683892202,75916853331.456359863,56811743150.237831116,-10.748985672047819406,1.441421615062477727e-08,4.6800723086018455941e-05,0.00015846680483476576515,2759.9567049694978778,8496.2167182104749372
41,4,38,129996.21875,-4.4664071777186489243,0.0078125,0.032877089163231239255,0.0048728018456012014287,67730769081.381507874,59652289945.61000061,-11.180948549090395261,1.461495700266442985e-08,4.5967850215252424595e-05,0.00014498593192081244622,2470.314792916325132,7986.5308300180040533
42,3,38,146435.265625,-4.5531130548017166859,0.0078125,0.031022171118307007714,0.0045572607680490519189,76775998020.440338135,57059435713.924201965,-10.633496220853876579,1.3570247076656783884e-08,4.6365375798831405659e-05,0.000145592759568520248,2615.7545960441952957,8046.8471831045335421
43,3,38,134391.5625,-4.7544842876694959344,0.0078125,0.02786262624471570748,0.0045617134752970710243,72206632090.363006592,55710121743.571998596,-9.8143005666762128669,1.283555908037608461e-08,5.4852816737188408341e-05,0.00014695458127742382103,2488.117488305138977,7899.2845437136875262
44,3,38,123809.578125,-4.6912251855614677254,0.0078125,0.029279497100170467222,0.0045871398384157288305,76567602362.282394409,63657504779.360031128,-10.351477346434945659,1.4216557495950981091e-08,5.2121729984470519751e-05,0.00015220370468087667253,2525.8148374109596261,8194.5865346675673209
45,3,38,108896.546875,-4.6942313909919022308,0.0078125,0.028356344146354284935,0.0053477967371455374657,74817271072.33241272,57462698039.208862305,-9.4115833021940584757,1.3183887246481089724e-08,5.311653861688289029e-05,0.00013984011733198545248,2867.0979104922607803,7216.2479735404476742
46,4,38,124849.71875,-4.4042604163479985857,0.0078125,0.032117109339273121338,0.0054532116157716189336,66043002615.23714447,61127711234.347763062,-9.4007992767732577732,1.3129151029279060123e-08,5.3358662849459172119e-05,0.00013514690131887182917,2880.4988373585506451,8437.411458097589275
47,3,41,133651.28125,-4.6873142397887885835,0.0078125,0.030607255916859608946,0.0047141732891156206547,63428835417.343688965,61857950036.208122253,-11.298563224383890713,1.331942572040922253e-08,4.9148942601936375786e-05,0.00015432523644497861078,2473.6102513054433985,7893.1101743681865628
48,3,43,130497.4375,-4.665563890184247775,0.0078125,0.02958602742039879302,0.0048068170828310845602,69161762340.069641113,58256163397.876625061,-10.435098542252134735,1.3206701952226787274e-08,5.2314439498500175506e-05,0.00014485584481146925604,2768.1819070401516001,7813.3710127735375863
49,3,43,130188.53125,-4.7197758274812011692,0.0078125,0.029905032088470194507,0.0049791143468949543641,69917345955.463745117,63458658001.73890686,-11.418331560184402207,1.3336471730957958295e-08,4.6373004075779120558e-05,0.0001597634629601442553,2710.0482593476995135,8480.914146386046923
50,3,39,146371.359375,-4.5690303993341601085,0.0078125,0.031613640168967491184,0.004619817206691865033,65600231240.782997131,64654767778.681015015,-10.795493238715218709,1.2283168058001049735e-08,4.8068740313439045381e-05,0.00013815105719638571548,2841.4297264308806916,7575.8323224963769462
51,3,38,143599.796875,-4.5817124866684819651,0.0078125,0.031184186307799156845,0.0046929114703987313828,72722311749.925048828,56577381246.014213562,-10.333454209199851803,1.2532124867011851317e-08,5.1024158120166582427e-05,0.00014098352342191316816,2721.5207811126115303,7329.4518336674436796
52,3,40,138218.421875,-4.663846722745944362,0.0078125,0.031442011830602779876,0.0045240253126360586294,72909101289.654663086,57760063620.591567993,-10.869153686645045553,1.3825018644116361784e-08,5.2481426213626486367e-05,0.0001608856519385639945,2712.3250652953634017,7388.4632882957639595
53,4,39,164482.375,-4.4555649818659626149,0.0078125,0.03200647547049749464,0.0047917642231526617197,68411948013.776885986,55145749246.536636353,-9.5499775323411331129,1.21740451285820662e-08,4.6378757334956325752e-05,0.00014694628151689948523,2528.1417250624585904,8369.6630831550173752
54,3,38,119056.640625,-4.5571893103242544498,0.0078125,0.031715058842075552481,0.0053791083199340415655,64297717459.172813416,60759586545.759620667,-9.3945250579130483715,1.3461464488623414197e-08,5.1916191171350047041e-05,0.0001535704319405231796,2840.4819268037017537,7333.7822432903485605
55,3,38,126109.125,-4.5149094797958859715,0.0078125,0.032086158002301190528,0.005000487020937952401,66576968193.788528442,61676928585.663871765,-10.888630408685948225,1.4579599344548581345e-08,4.7528613792978516338e-05,0.00014949183259834155821,2885.7100228852173132,8177.312640148360515
56,3,38,140882.78125,-4.651689406420944195,0.0078125,0.031498869573929749732,0.005178320027738027298,63944297157.66771698,56563827587.600715637,-10.81280388989150687,1.239236849774716804e-08,4.7130880058804007016e-05,0.00016009017426291954488,2730.777048049856603,7586.9895088309376661
57,3,38,131004.6875,-4.6658886003440303014,0.0078125,0.031416730655551297624,0.0048428376733059231782,66835163649.094833374,65011553737.852516174,-11.072113837130419967,1.2742833332090094823e-08,4.8895168157245579705e-05,0.00015044252307407676283,2921.1587521206397469,7206.986223921173405
58,3,40,136512.375,-4.5480007275291720603,0.0078125,0.031477339104971538419,0.005257246244585721609,72102177741.519256592,54920995124.252975464,-10.010482963030451486,1.2994296888450299553e-08,5.4827732974583164179e-05,0.00015196780719187473257,2898.7929566059228819,8256.3551575091460109
59,3,38,121477.4375,-4.859609395210085836,0.0078125,0.029047674884110537274,0.0051179467000150805772,70070010836.734436035,59886493120.801864624,-10.928998102754817978,1.2511214724621371015e-08,5.0675140938570328907e-05,0.00016402242050460652729,2451.4937948628767117,7167.9883715663982002
60,3,38,121794.546875,-4.7917194595529188916,0.0078125,0.02917347574521483855,0.0052759250997453576923,69542848201.721374512,62661471861.862335205,-10.617861237217606885,1.2742671352649420438e-08,5.4267250648358487399e-05,0.00016482773385468298057,2864.8235094802562344,8271.2313790089592658
